Epoch,Training Loss,Validation Loss,F1,Roc Auc,Accuracy
1,0.485300,0.344282,0.000000,0.500000,0.604938
2,0.274600,0.318569,0.525000,0.698822,0.641975
3,0.107600,0.273211,0.477612,0.661232,0.691358
4,0.322000,0.264982,0.520548,0.687047,0.679012
5,0.847000,0.249703,0.606742,0.755888,0.641975
6,0.091900,0.250113,0.522727,0.708786,0.629630
7,0.113900,0.275308,0.576923,0.765399,0.567901
8,0.121300,0.269726,0.612245,0.776268,0.654321
9,0.038500,0.304905,0.528736,0.710598,0.641975
10,0.031400,0.293629,0.528736,0.710598,0.604938
11,0.016500,0.288381,0.574468,0.746830,0.629630
12,0.020500,0.312787,0.541176,0.714221,0.641975
13,0.424800,0.347680,0.533333,0.695652,0.691358
14,0.009300,0.316320,0.610526,0.769475,0.666667
15,0.013300,0.322388,0.526316,0.720562,0.604938
16,0.011600,0.332244,0.543478,0.725996,0.629630
17,0.027200,0.363572,0.594059,0.770833,0.592593
18,0.011900,0.349100,0.568421,0.745018,0.641975
19,0.050700,0.369389,0.564706,0.726449,0.666667
20,0.006600,0.373016,0.525000,0.698822,0.679012
21,0.010400,0.354525,0.622222,0.766304,0.703704
22,0.025100,0.374559,0.606742,0.755888,0.679012
23,0.031500,0.395407,0.551724,0.722826,0.654321
24,0.007400,0.403744,0.547619,0.716033,0.666667
25,0.004300,0.384214,0.615385,0.764493,0.679012
26,0.016100,0.408760,0.602410,0.742301,0.703704
27,0.036800,0.393180,0.595745,0.759058,0.654321
28,0.014200,0.407150,0.581395,0.736866,0.666667
29,0.005600,0.392709,0.583333,0.755435,0.641975
30,0.021200,0.404550,0.602151,0.760870,0.666667
31,0.010600,0.414089,0.581395,0.736866,0.666667
32,0.004600,0.409889,0.593407,0.752264,0.666667
33,0.169400,0.412967,0.613636,0.757699,0.691358
34,0.003600,0.433396,0.547619,0.716033,0.654321
35,0.003500,0.416626,0.597701,0.747283,0.679012
36,0.002600,0.427451,0.564706,0.726449,0.666667
37,0.005300,0.421033,0.606742,0.755888,0.691358
38,0.012100,0.429463,0.613636,0.757699,0.691358
39,0.012700,0.432026,0.620690,0.759511,0.703704
40,0.003400,0.427692,0.613636,0.757699,0.691358
41,0.012500,0.435857,0.590909,0.745471,0.679012
42,0.007800,0.431020,0.606742,0.755888,0.691358
43,0.002600,0.434100,0.620690,0.759511,0.703704
44,0.002800,0.433574,0.620690,0.759511,0.703704
45,0.008700,0.427995,0.606742,0.755888,0.691358
46,0.009200,0.432623,0.613636,0.757699,0.691358
47,0.002900,0.436391,0.606742,0.755888,0.679012
48,0.006900,0.436627,0.613636,0.757699,0.691358
49,0.014700,0.435685,0.613636,0.757699,0.691358
50,0.010600,0.436204,0.613636,0.757699,0.691358
